-1.7261,1.8755,0.39353,-3.5573,-0.12347,-10.61
-1.7617,1.8738,0.28307,-3.5545,-0.2291,-11.471
-1.7972,1.871,0.16432,-3.5539,-0.32912,-12.265
-1.8327,1.8672,0.038036,-3.5542,-0.42199,-12.977
-1.8683,1.8626,-0.094905,-3.5535,-0.50624,-13.594
-1.9038,1.8571,-0.23347,-3.5492,-0.58056,-14.101
-1.9392,1.851,-0.37653,-3.5376,-0.64378,-14.489
-1.9745,1.8443,-0.52281,-3.5142,-0.69487,-14.746
-2.0094,1.8371,-0.671,-3.4724,-0.73303,-14.867
-2.0438,1.8297,-0.81967,-3.4029,-0.75765,-14.843
-2.0773,1.822,-0.96737,-3.2913,-0.76832,-14.672
-2.1093,1.8143,-1.1126,-3.1127,-0.76489,-14.351
-2.1389,1.8068,-1.2539,-2.8158,-0.74742,-13.879
-2.1643,1.7994,-1.3897,-2.2575,-0.71619,-13.261
-2.1779,1.7925,-1.5186,-0.46009,-0.67174,-12.499
-2.1812,1.7861,-1.6392,-0.20875,-0.61479,-11.6
-2.1916,1.7802,-1.7502,-1.8575,-0.54631,-10.573
-2.2141,1.7752,-1.8503,-2.6483,-0.46745,-9.4269
-2.2434,1.7709,-1.9384,-3.2116,-0.37954,-8.1748
-2.2778,1.7676,-2.0135,-3.666,-0.28409,-6.8297
-2.3164,1.7653,-2.0747,-4.0566,-0.1827,-5.4064
-2.3587,1.764,-2.1214,-4.4067,-0.077142,-3.9206
-2.4044,1.7637,-2.153,-4.7307,0.030778,-2.3891
-2.4532,1.7646,-2.1691,-5.0388,0.13918,-0.82897
-2.5051,1.7665,-2.1695,-5.3394,0.24617,0.74225
-2.56,1.7695,-2.1542,-5.6398,0.34986,2.3072
-2.618,1.7735,-2.1234,-5.9478,0.44843,3.8487
-2.6791,1.7784,-2.0774,-6.2721,0.54012,5.3503
-2.7435,1.7843,-2.0166,-6.6242,0.62329,6.7966
-2.8118,1.7909,-1.9417,-7.022,0.69647,8.1734
-2.8844,1.7981,-1.8534,-7.5003,0.75834,9.4678
-2.9626,1.806,-1.7527,-8.1488,0.8078,10.669
-3.0506,1.8143,-1.6404,-9.4465,0.844,11.768
-3.1443,1.8228,-1.5177,-9.2951,0.86633,12.759
-3.2306,1.8315,-1.3856,-7.9651,0.87445,13.636
-3.3083,1.8403,-1.2453,-7.5749,0.86832,14.399
-3.3831,1.8489,-1.098,-7.3796,0.84817,15.048
-3.4563,1.8572,-0.94472,-7.2701,0.81455,15.587
-3.5287,1.8651,-0.7866,-7.207,0.76824,16.021
-3.6006,1.8725,-0.62462,-7.1715,0.71032,16.359
-3.6722,1.8793,-0.45971,-7.1528,0.64207,16.61
-3.7437,1.8853,-0.29267,-7.144,0.56496,16.787
-3.8151,1.8906,-0.12417,-7.1407,0.48058,16.904
-3.8865,1.8949,0.045247,-7.1402,0.3906,16.972
-3.958,1.8984,0.21517,-7.1406,0.29663,17.008
-4.0294,1.9008,0.38533,-7.1411,0.20017,17.022
-4.1008,1.9024,0.55557,-7.1413,0.10248,17.025
-4.1722,1.9029,0.72582,-7.1413,0.0044041,17.025
-4.2436,1.9024,0.89607,-7.1413,-0.093696,17.025
-4.315,1.901,1.0663,-7.1413,-0.1918,17.025
-4.3864,1.8986,1.2366,-7.1413,-0.2899,17.025
-4.4578,1.8952,1.4068,-7.1413,-0.388,17.025
-4.5293,1.8908,1.5771,-7.1413,-0.4861,17.025
-4.6007,1.8855,1.7473,-7.1413,-0.5842,17.025
-4.6721,1.8792,1.9176,-7.1413,-0.6823,17.025
-4.7435,1.8718,2.0878,-7.1413,-0.7804,17.025
-4.8149,1.8636,2.2581,-7.1413,-0.8785,17.025
-4.8863,1.8543,2.4283,-7.1413,-0.9766,17.025
-4.9577,1.844,2.5986,-7.1413,-1.0747,17.025
-5.0291,1.8328,2.7689,-7.1413,-1.1728,17.025
-5.1006,1.8206,2.9391,-7.1413,-1.2709,17.025
-5.172,1.8074,3.1094,-7.1413,-1.369,17.025
-5.2434,1.7932,3.2796,-7.1413,-1.4671,17.025
-5.3148,1.778,3.4499,-7.1413,-1.5652,17.025
-5.3862,1.7619,3.6201,-7.1413,-1.6633,17.025
-5.4576,1.7448,3.7904,-7.1413,-1.7614,17.025
-5.529,1.7267,3.9606,-7.1413,-1.8595,17.025
-5.6004,1.7076,4.1309,-7.1413,-1.9576,17.025
-5.6719,1.6875,4.3011,-7.1413,-2.0557,17.025
-5.7433,1.6665,4.4714,-7.1413,-2.1538,17.025
-5.8147,1.6444,4.6416,-7.1413,-2.2519,17.025
-5.8861,1.6214,4.8119,-7.1413,-2.35,17.025
-5.9575,1.5974,4.9821,-7.1413,-2.4481,17.025
-6.0289,1.5725,5.1524,-7.1413,-2.5462,17.025
-6.1003,1.5465,5.3226,-7.1413,-2.6443,17.025
-6.1718,1.5196,5.4929,-7.1413,-2.7424,17.025
-6.2432,1.4917,5.6632,-7.1413,-2.8405,17.025
-6.3146,1.4628,5.8334,-7.1413,-2.9386,17.025
-6.386,1.4329,6.0037,-7.1413,-3.0367,17.025
-6.4574,1.402,6.1739,-7.1413,-3.1348,17.025
-6.5288,1.3702,6.3442,-7.1413,-3.2328,17.025
-6.6002,1.3374,6.5144,-7.1413,-3.3308,17.025
-6.6716,1.3036,6.6847,-7.1414,-3.4287,17.025
-6.7431,1.2688,6.8549,-7.1416,-3.5265,17.025
-6.8145,1.233,7.0252,-7.142,-3.6241,17.024
-6.8859,1.1963,7.1954,-7.1428,-3.7214,17.023
-6.9573,1.1586,7.3656,-7.1445,-3.8185,17.022
-7.0288,1.1199,7.5358,-7.1478,-3.9153,17.021
-7.1003,1.0803,7.706,-7.1566,-4.0117,17.019
-7.1716,1.0397,7.8762,-7.1087,-4.1076,17.017
-7.2424,0.99816,8.0464,-7.0466,-4.203,17.014
-7.3128,0.95565,8.2165,-7.0342,-4.2979,17.011
-7.3831,0.9122,8.3866,-7.0257,-4.392,17.007
-7.4534,0.86781,8.5566,-7.019,-4.4854,17.002
-7.5235,0.8225,8.7266,-7.0135,-4.5779,16.996
-7.5936,0.77626,8.8966,-7.009,-4.6696,16.99
-7.6637,0.72911,9.0664,-7.0054,-4.7602,16.982
-7.7337,0.68106,9.2362,-7.0031,-4.8497,16.974
-7.8038,0.63212,9.4059,-7.0021,-4.9381,16.964
-7.8738,0.5823,9.5755,-7.0029,-5.0252,16.953
-7.9438,0.53162,9.7449,-7.0059,-5.111,16.94
-8.0139,0.48008,9.9143,-7.012,-5.1953,16.926
-8.0841,0.42772,10.083,-7.0221,-5.2781,16.91
-8.1544,0.37453,10.252,-7.038,-5.3593,16.893
-8.2249,0.32054,10.421,-7.0627,-5.4388,16.874
-8.2957,0.26576,10.59,-7.1027,-5.5164,16.853
-8.3671,0.21021,10.758,-7.1759,-5.5921,16.831
-8.44,0.15392,10.927,-7.4076,-5.6659,16.806
-8.5143,0.096902,11.094,-7.4525,-5.7376,16.779
-8.5879,0.039177,11.262,-7.2597,-5.8071,16.75
-8.6601,-0.019232,11.429,-7.1708,-5.8744,16.718
-8.7315,-0.078303,11.596,-7.1112,-5.9393,16.685
-8.8024,-0.13801,11.763,-7.067,-6.0018,16.648
-8.8729,-0.19833,11.929,-7.0333,-6.0618,16.61
-8.9431,-0.25924,12.095,-7.008,-6.1191,16.568
-9.0131,-0.3207,12.261,-6.9903,-6.1738,16.524
-9.0829,-0.3827,12.426,-6.9799,-6.2258,16.477
-9.1527,-0.44521,12.59,-6.9771,-6.2749,16.427
-9.2225,-0.50819,12.754,-6.9828,-6.3211,16.374
-9.2924,-0.57162,12.918,-6.9982,-6.3643,16.318
-9.3625,-0.63547,13.081,-7.0253,-6.4045,16.259
-9.433,-0.6997,13.243,-7.0673,-6.4415,16.197
-9.504,-0.76429,13.405,-7.1291,-6.4754,16.132
-9.5757,-0.8292,13.566,-7.2194,-6.506,16.063
-9.6486,-0.8944,13.726,-7.3563,-6.5333,15.991
-9.7233,-0.95985,13.885,-7.587,-6.5572,15.915
-9.802,-1.0255,14.044,-8.1601,-6.5777,15.836
-9.8826,-1.0914,14.202,-7.9488,-6.5946,15.754
-9.9579,-1.1574,14.359,-7.1207,-6.6081,15.668
-10.028,-1.2235,14.515,-6.816,-6.618,15.578
-10.095,-1.2898,14.671,-6.6235,-6.6242,15.484
-10.16,-1.356,14.825,-6.4849,-6.6268,15.387
-10.225,-1.4223,14.979,-6.3805,-6.6256,15.286
-10.288,-1.4885,15.131,-6.3012,-6.6207,15.181
-10.351,-1.5547,15.282,-6.2424,-6.6121,15.072
-10.413,-1.6207,15.432,-6.2018,-6.5996,14.959
-10.475,-1.6867,15.581,-6.1785,-6.5833,14.843
-10.537,-1.7524,15.729,-6.1724,-6.5631,14.722
-10.598,-1.8179,15.876,-6.1842,-6.5391,14.598
-10.66,-1.8832,16.021,-6.2154,-6.5111,14.47
-10.723,-1.9481,16.165,-6.2686,-6.4793,14.337
-10.786,-2.0127,16.308,-6.3475,-6.4435,14.201
-10.85,-2.077,16.449,-6.4579,-6.4038,14.061
-10.915,-2.1408,16.589,-6.609,-6.3601,13.916
-10.982,-2.2042,16.727,-6.8161,-6.3126,13.768
-11.052,-2.267,16.864,-7.1084,-6.2611,13.615
-11.125,-2.3294,17,-7.5521,-6.2056,13.459
-11.205,-2.3911,17.134,-8.3684,-6.1463,13.299
-11.323,-2.4523,17.266,-15.16,-6.083,13.134
